TITRE,REALISATEUR,RUE,CP,ADRESSE,COORDONNEES
KROMOV,ANDREY RAZENKOV,RAPP,75007,SQUARE RAPP 75007 Paris France,"48.858706, 2.30088"
JULIE AND JULIA,NORA EPHRON,NEUF,75004,PONT NEUF 75004 Paris France,
JULIE AND JULIA,NORA EPHRON,DE GESVRES,75004,QUAI DE GESVRES 75004 Paris France,"48.856627, 2.34919"
JULIE AND JULIA,NORA EPHRON,AU CHANGE,75004,PONT AU CHANGE 75004 Paris France,"48.856247, 2.346526"
JULIE AND JULIA,NORA EPHRON,DE L'HOTEL DE VILLE,75004,QUAI DE L'HOTEL DE VILLE 75004 Paris France,"48.854754, 2.353961"
JULIE AND JULIA,NORA EPHRON,AU DOUBLE,75004,PONT AU DOUBLE 75004 Paris France,"48.852611, 2.348438"
EDEN A L'OUEST,COSTA GAVRAS,SAINT ANDRE DES ARTS,75006,PLACE SAINT ANDRE DES ARTS 75006 Paris France,
EDEN A L'OUEST,COSTA GAVRAS,FRANTZ LITZ,75010,PLACE FRANTZ LITZ 75010 Paris France,
EDEN A L'OUEST,COSTA GAVRAS,DE CHATEAUDUN/FG MONTMARTRE,75009,RUE DE CHATEAUDUN/FG MONTMARTRE 75009 Paris France,
LES ZONES TURQUOISES,JALIL LESPERT,ST-DENIS/ANGLE R DU CHATEAU D'EAU,75010,FAUBOURG ST-DENIS/ANGLE R DU CHATEAU D'EAU 75010 Paris France,
LES ZONES TURQUOISES,JALIL LESPERT,FENELON,75010,RUE FENELON 75010 Paris France,"48.87869, 2.351438"
LES ZONES TURQUOISES,JALIL LESPERT,DES PETITES ECURIES,75010,COUR DES PETITES ECURIES 75010 Paris France,
LES ZONES TURQUOISES,JALIL LESPERT,JARRY/ANGLE R JARRY/R FBG ST DENIS,75010,RUE JARRY/ANGLE R JARRY/R FBG ST DENIS 75010 Paris France,
LES ZONES TURQUOISES,JALIL LESPERT,ST DENIS/ANGLE RUE DES PETITES ECURIES,75010,FAUBOURG ST DENIS/ANGLE RUE DES PETITES ECURIES 75010 Paris France,
LOL,LISA AZUELOS,PROUDHON,75012,RUE PROUDHON 75012 Paris France,
LOL,LISA AZUELOS,DES ARTS,75001,PONT DES ARTS 75001 Paris France,"48.858795, 2.337747"
LOL,LISA AZUELOS,TAINE,75012,RUE TAINE 75012 Paris France,
ET SI...,OLEG OSSIPOV,COCHIN,75005,RUE COCHIN 75005 Paris France,
ENVOYES (TRES) SPECIAUX,FREDERIC AUBURTIN,DU FAUBOURG SAINT MARTIN,75010,RUE DU FAUBOURG SAINT MARTIN 75010 Paris France,"48.876831, 2.360984"
ENVOYES (TRES) SPECIAUX,FREDERIC AUBURTIN,CUSTINE,75018,RUE CUSTINE 75018 Paris France,"48.888815, 2.346426"
ENVOYES (TRES) SPECIAUX,FREDERIC AUBURTIN,DU 8 MAI 1945,75010,RUE DU 8 MAI 1945 75010 Paris France,"48.876104, 2.358307"
LE CONCERT,RADU MIHAILEANU,DE SAINT OUEN,93400,CIMETIERE DE SAINT OUEN 93400 Paris France,
LE CONCERT,RADU MIHAILEANU,LOUISE MICHEL,75018,SQUARE LOUISE MICHEL 75018 Paris France,"48.884372, 2.343661"
LA DOUBLE CROISEE,JEAN-CHARLES ATZENI,JEAN-PAUL II,75004,PONT JEAN-PAUL II 75004 Paris France,
LE CONCERT,RADU MIHAILEANU,DES CHAMPS ELYSEES,75008,ARENES DES CHAMPS ELYSEES 75008 Paris France,
UN CHAT UN CHAT,SOPHIE FILLIERES,DES BOULANGERS,75005,RUE DES BOULANGERS 75005 Paris France,
LA DOUBLE CROISEE,JEAN-CHARLES ATZENI,SAINT LOUIS,75004,PONT SAINT LOUIS 75004 Paris France,"48.852745, 2.352713"
LA DOUBLE CROISEE,JEAN-CHARLES ATZENI,AUX FLEURS,75004,QUAI AUX FLEURS 75004 Paris France,"48.853968, 2.3518"
ROMAINE PAR MOINS 30,AGNES OBADIA,DES GOBELINS,75013,AVENUE DES GOBELINS 75013 Paris France,
LES HERBES FOLLES,ALAIN RESNAIS,FRANKLIN ROOSEVELT,75008,AVENUE FRANKLIN ROOSEVELT 75008 Paris France,"48.869169, 2.310126"
ROMAINE PAR MOINS 30,AGNES OBADIA,ORDENER,75018,RUE ORDENER 75018 Paris France,"48.892184, 2.346226"
LES HERBES FOLLES,ALAIN RESNAIS,DES CERISOLES,75008,RUE DES CERISOLES 75008 Paris France,
INCOGNITO,ERIC LAVAINE,DE LA BASTILLE,75001,PLACE DE LA BASTILLE 75001 Paris France,
UN CHAT UN CHAT,SOPHIE FILLIERES,LANNES,75016,BOULEVARD LANNES 75016 Paris France,
INCOGNITO,ERIC LAVAINE,D'AUSTERLITZ,75012,PONT D'AUSTERLITZ 75012 Paris France,
UNE FAMILLE CLEF EN MAIN,JEAN FRANCOIS DAVY,DU FAUBOURG SAINT HONORE,75008,RUE DU FAUBOURG SAINT HONORE 75008 Paris France,"48.872845, 2.310735"
INCOGNITO,ERIC LAVAINE,DE DUNKERQUE,75010,BOULEVARD DE DUNKERQUE 75010 Paris France,
INCOGNITO,ERIC LAVAINE,MALESHERBES,75008,BOULEVARD MALESHERBES 75008 Paris France,"48.876158, 2.318287"
UNE FAMILLE CLEF EN MAIN,JEAN FRANCOIS DAVY,NEUF,75001,PONT NEUF 75001 Paris France,"48.857347, 2.341531"
UNE FAMILLE CLEF EN MAIN,JEAN FRANCOIS DAVY,DES BOUQUINISTES,75006,QUAI DES BOUQUINISTES 75006 Paris France,
LA DOUBLE CROISEE,JEAN-CHARLES ATZENI,ALBERT 1ER DE MONACO,75016,AVENUE ALBERT 1ER DE MONACO 75016 Paris France,"48.861649, 2.289984"
INCOGNITO,ERIC LAVAINE,DE LA MADELEINE,75008,PLACE DE LA MADELEINE 75008 Paris France,"48.87084, 2.324248"
LA DOUBLE CROISEE,JEAN-CHARLES ATZENI,HUSSEIN 1ER DE JORDANIE,75016,AVENUE HUSSEIN 1ER DE JORDANIE 75016 Paris France,"48.861649, 2.289984"
INCOGNITO,ERIC LAVAINE,DE LA CONCORDE,75008,PLACE DE LA CONCORDE 75008 Paris France,"48.865519, 2.321454"
INCOGNITO,ERIC LAVAINE,DE GRENELLE,75007,RUE DE GRENELLE 75007 Paris France,
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,ELYSEE RECLUS ET R SYLVESTRE DE SACY,75007,AVENUE ELYSEE RECLUS ET R SYLVESTRE DE SACY 75007 Paris France,
LA DOUBLE CROISEE,JEAN-CHARLES ATZENI,GUSTAVE V DE SUEDE,75016,AVENUE GUSTAVE V DE SUEDE 75016 Paris France,"48.861649, 2.289984"
INCOGNITO,ERIC LAVAINE,DE L'OPERA,75009,PLACE DE L'OPERA 75009 Paris France,"48.870766, 2.332529"
INCOGNITO,ERIC LAVAINE,ROBINEAU,75020,RUE ROBINEAU 75020 Paris France,"48.864729, 2.393242"
LA FILLE DU RER,ANDRE TECHINE,VAN DYCK,75008,AVENUE VAN DYCK 75008 Paris France,"48.878411, 2.30616"
UN CHAT UN CHAT,SOPHIE FILLIERES,FROIDEVEAUX,75014,RUE FROIDEVEAUX 75014 Paris France,
UN CHAT UN CHAT,SOPHIE FILLIERES,NICOLAS LEDOUX,75014,SQUARE NICOLAS LEDOUX 75014 Paris France,
INCOGNITO,ERIC LAVAINE,LEBLANC,75015,RUE LEBLANC 75015 Paris France,
UN CHAT UN CHAT,SOPHIE FILLIERES,DE LA PORT,75016,PLACE DE LA PORT 75016 Paris France,"48.850205, 2.27753"
UNE FAMILLE CLEF EN MAIN,JEAN FRANCOIS DAVY,DE SAVOIE,75006,RUE DE SAVOIE 75006 Paris France,
UNE FAMILLE CLEF EN MAIN,JEAN FRANCOIS DAVY,CABANIS,75014,RUE CABANIS 75014 Paris France,"48.830342, 2.338187"
INCOGNITO,ERIC LAVAINE,AU DOUBLE,75005,PONT AU DOUBLE 75005 Paris France,"48.852598, 2.348449"
INCOGNITO,ERIC LAVAINE,SAINT MICHEL,75005,QUAI SAINT MICHEL 75005 Paris France,"48.85333, 2.345922"
INCOGNITO,ERIC LAVAINE,AU CHANGE,75001,PONT AU CHANGE 75001 Paris France,
TRANSPORT,OLIVIER MEGATON,DE VINCENNES,75012,BOIS DE VINCENNES 75012 Paris France,"48.832576, 2.418326"
INCOGNITO,ERIC LAVAINE,DU QUAI DE LA TOURNELLE,75005,BERGES DU QUAI DE LA TOURNELLE 75005 Paris France,"48.85042, 2.353546"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,SAINT DOMINIQUE,75007,RUE SAINT DOMINIQUE 75007 Paris France,"48.859946, 2.312247"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,D'ESTREES,75007,RUE D'ESTREES 75007 Paris France,"48.851485, 2.31069"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,DU PALAIS BOURBON,75007,PLACE DU PALAIS BOURBON 75007 Paris France,
TELLEMENT PROCHES,E.TOLEDANO/O.NAKACHE,GAMBETTA,75020,AVENUE GAMBETTA 75020 Paris France,"48.867337, 2.400598"
INCOGNITO,ERIC LAVAINE,DE CLICHY,75009,BOULEVARD DE CLICHY 75009 Paris France,"48.883321, 2.333763"
INCOGNITO,ERIC LAVAINE,LOUISE MICHEL,75018,SQUARE LOUISE MICHEL 75018 Paris France,"48.884372, 2.343661"
INCOGNITO,ERIC LAVAINE,DE BRUXELLES,75009,RUE DE BRUXELLES 75009 Paris France,"48.883298, 2.330462"
KROMOV,ANDREY RAZENKOV,CONSTANTIN PECQUEUR,75018,PLACE CONSTANTIN PECQUEUR 75018 Paris France,"48.889244, 2.338329"
KROMOV,ANDREY RAZENKOV,DALIDA,75018,PLACE DALIDA 75018 Paris France,"48.888531, 2.338071"
IRU NATHIGAL,JOSEPH PAULRAJ,DU PANTHEON,75005,PLACE DU PANTHEON 75005 Paris France,"48.845685, 2.345901"
DEAR GALILEO,NITHIWAT TARATHORN,DES ARTS,75001,PONT DES ARTS 75001 Paris France,"48.858795, 2.337747"
IRU NATHIGAL,JOSEPH PAULRAJ,GUSTAVE V DE SUEDE,75016,AVENUE GUSTAVE V DE SUEDE 75016 Paris France,"48.861649, 2.289984"
IRU NATHIGAL,JOSEPH PAULRAJ,DE LA SORBONNE,75005,PLACE DE LA SORBONNE 75005 Paris France,"48.848577, 2.342194"
DEAR GALILEO,NITHIWAT TARATHORN,DES CHAMPS ELYSEES,75008,AVENUE DES CHAMPS ELYSEES 75008 Paris France,"48.869576, 2.30825"
IRU NATHIGAL,JOSEPH PAULRAJ,ALBERT 1ER DE MONACO,75016,AVENUE ALBERT 1ER DE MONACO 75016 Paris France,"48.861649, 2.289984"
L'ELEGANCE DU HERISSON,MONA ACHACHE,EUGENE MANUEL,75016,RUE EUGENE MANUEL 75016 Paris France,
RTT,FREDERIC BERTHE,DE MONCEAU,75008,RUE DE MONCEAU 75008 Paris France,"48.878061, 2.311403"
JE NE DIS PAS NON,ILIANA LOLIC,DES JUSTES,75004,ALLEE DES JUSTES 75004 Paris France,"48.855241, 2.355781"
JE NE DIS PAS NON,ILIANA LOLIC,DES JARDINS SAINT PAUL,75004,RUE DES JARDINS SAINT PAUL 75004 Paris France,"48.853236, 2.36042"
JE NE DIS PAS NON,ILIANA LOLIC,DES PETITS HOTELS,75010,RUE DES PETITS HOTELS 75010 Paris France,"48.877464, 2.353378"
JE NE DIS PAS NON,ILIANA LOLIC,DU PONT LOUIS PHILIPPE,75004,RUE DU PONT LOUIS PHILIPPE 75004 Paris France,
LE PETIT NICOLAS,LAURENT TIRARD,FOCH,75016,AVENUE FOCH 75016 Paris France,"48.872126, 2.285236"
AGATHE CLERY,ETIENNE CHATILIEZ,DE LA MADELEINE,75008,PLACE DE LA MADELEINE 75008 Paris France,"48.87084, 2.324248"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,DES GRANDS AUGUSTINS (PENICHE),75006,QUAI DES GRANDS AUGUSTINS (PENICHE) 75006 Paris France,
LE PETIT NICOLAS,LAURENT TIRARD,EMILE AUGIER,75016,BOULEVARD EMILE AUGIER 75016 Paris France,"48.860262, 2.274047"
YUKI ET NINA,H.GIRARDOT/N.SUWA,VOLTAIRE,75011,BOULEVARD VOLTAIRE 75011 Paris France,"48.857638, 2.380338"
HADEWIJCH,BRUNO DUMONT,DE LA TOURNELLE,75005,PORT DE LA TOURNELLE 75005 Paris France,"48.849811, 2.356086"
HADEWIJCH,BRUNO DUMONT,HENRI IV,75004,PORT HENRI IV 75004 Paris France,"48.876542, 2.372545"
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,DU TROCADERO,75016,PLACE DU TROCADERO 75016 Paris France,"48.862318, 2.287561"
LE SEMINAIRE,CHARLES NEMES,SAINT DENIS,75001,RUE SAINT DENIS 75001 Paris France,"48.86331, 2.349851"
JULIE AND JULIA,NORA EPHRON,DE LA BUCHERIE,75005,RUE DE LA BUCHERIE 75005 Paris France,"48.852142, 2.348129"
LA DOUBLE CROISEE,JEAN-CHARLES ATZENI,DU PARVIS,75018,PLACE DU PARVIS 75018 Paris France,"48.886183, 2.34312"
LE CODE A CHANGE,DANIELE THOMPSON,MAUBERT,75005,PLACE MAUBERT 75005 Paris France,"48.850255, 2.348795"
LE SEMINAIRE,CHARLES NEMES,VICTORIA,75001,AVENUE VICTORIA 75001 Paris France,
LE SEMINAIRE,CHARLES NEMES,DU CHATELET,75001,PLACE DU CHATELET 75001 Paris France,"48.85748, 2.347244"
LE SEMINAIRE,CHARLES NEMES,SAINT BON,75004,RUE SAINT BON 75004 Paris France,
JULIE AND JULIA,NORA EPHRON,SAINT JULIEN LE PAUVRE,75005,RUE SAINT JULIEN LE PAUVRE 75005 Paris France,
CYPRIEN,DAVID CHARHON,DES CHAMPS ELYSEES,75008,ROND POINT DES CHAMPS ELYSEES 75008 Paris France,"48.869012, 2.309055"
ET SI...,OLEG OSSIPOV,AU DOUBLE,75004,PONT AU DOUBLE 75004 Paris France,"48.852611, 2.348438"
ET SI...,OLEG OSSIPOV,DU QUAI DE MONTEBELLO,75005,BERGES DU QUAI DE MONTEBELLO 75005 Paris France,"48.852351, 2.348252"
ET SI...,OLEG OSSIPOV,DU PARVIS,75004,PLACE DU PARVIS 75004 Paris France,"48.853733, 2.348382"
LE CODE A CHANGE,DANIELE THOMPSON,JEAN PIERRE TIMBAUD,75011,RUE JEAN PIERRE TIMBAUD 75011 Paris France,"48.8666, 2.373281"
VILLA AMALIA,BENOIT JACQUOT,DE BELLEVILLE,75020,CIMETIERE DE BELLEVILLE 75020 Paris France,"48.874497, 2.399278"
KROMOV,ANDREY RAZENKOV,SAINT CLAUDE,75003,RUE SAINT CLAUDE 75003 Paris France,
KROMOV,ANDREY RAZENKOV,QUAI DES ORFEVRES,75001,BERGES QUAI DES ORFEVRES 75001 Paris France,
KROMOV,ANDREY RAZENKOV,QUAI DE CONTI,75006,BERGES QUAI DE CONTI 75006 Paris France,
VILLA AMALIA,BENOIT JACQUOT,ASPIRANT DUNANT,75014,PISCINE ASPIRANT DUNANT 75014 Paris France,
KROMOV,ANDREY RAZENKOV,DU PERE LACHAISE,75020,CIMETIERE DU PERE LACHAISE 75020 Paris France,"48.86115, 2.394188"
LE CODE A CHANGE,DANIELE THOMPSON,RICHERAND,75010,AVENUE RICHERAND 75010 Paris France,"48.872262, 2.366175"
LE CODE A CHANGE,DANIELE THOMPSON,MANIN,75019,RUE MANIN 75019 Paris France,"48.883023, 2.385709"
LE SEMINAIRE,CHARLES NEMES,DE LA GRANGE AUX BELLES/R BICHAT (ANGLE),75010,RUE DE LA GRANGE AUX BELLES/R BICHAT (ANGLE) 75010 Paris France,
LE CODE A CHANGE,DANIELE THOMPSON,ARMAND CARREL,75019,PLACE ARMAND CARREL 75019 Paris France,"48.882545, 2.3817"
LE SEMINAIRE,CHARLES NEMES,DE JEMMAPES  (TERRE PLEIN),75010,QUAI DE JEMMAPES  (TERRE PLEIN) 75010 Paris France,
LE SEMINAIRE,CHARLES NEMES,DE LA GRANGE AUX BELLES,75010,RUE DE LA GRANGE AUX BELLES 75010 Paris France,"48.875657, 2.367231"
LA FILLE DU RER,ANDRE TECHINE,DU LOUVRE,75001,PLACE DU LOUVRE 75001 Paris France,"48.859819, 2.340823"
LE CODE A CHANGE,DANIELE THOMPSON,DE LA GRANGE AUX BELLES,75010,ESPLANADE DE LA GRANGE AUX BELLES 75010 Paris France,
LE CODE A CHANGE,DANIELE THOMPSON,DE JEMMAPES,75010,QUAI DE JEMMAPES 75010 Paris France,"48.876681, 2.365244"
LE SEMINAIRE,CHARLES NEMES,BICHAT,75010,RUE BICHAT 75010 Paris France,"48.872186, 2.367217"
LA FILLE DU RER,ANDRE TECHINE,RAMBUTEAU/MONTMARTRE/TURGO,75001,RUE RAMBUTEAU/MONTMARTRE/TURGO 75001 Paris France,
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,LOUIS XIII,75004,SQUARE LOUIS XIII 75004 Paris France,"48.855418, 2.355782"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,DES VOSGES,75004,PLACE DES VOSGES 75004 Paris France,"48.85547, 2.366377"
LE CODE A CHANGE,DANIELE THOMPSON,ETIENNE DOLET,75020,RUE ETIENNE DOLET 75020 Paris France,
LE CODE A CHANGE,DANIELE THOMPSON,MAURICE CHEVALIER,75020,PLACE MAURICE CHEVALIER 75020 Paris France,"48.864475, 2.433651"
LE SEMINAIRE,CHARLES NEMES,DE BOULOGNE,75016,BOIS DE BOULOGNE 75016 Paris France,"48.862449, 2.249167"
LA FILLE DU RER,ANDRE TECHINE,DE MORTEMART (BOIS,75012,PLAINE DE JEUX DE MORTEMART (BOIS 75012 Paris France,
LE CODE A CHANGE,DANIELE THOMPSON,DE BELLEVILLE,75020,BOULEVARD DE BELLEVILLE 75020 Paris France,"48.869638, 2.380154"
LA FILLE DU RER,ANDRE TECHINE,SUR BERGES,75001,VOIE SUR BERGES 75001 Paris France,
LE SEMINAIRE,CHARLES NEMES,DE LA BUCHERIE/R F. SAUTON (ANGLE),75005,RUE DE LA BUCHERIE/R F. SAUTON (ANGLE) 75005 Paris France,
LE SEMINAIRE,CHARLES NEMES,DES GRANDS DEGRES,75005,RUE DES GRANDS DEGRES 75005 Paris France,"48.851237, 2.350247"
LE SEMINAIRE,CHARLES NEMES,MAITRE ALBERT,75005,RUE MAITRE ALBERT 75005 Paris France,
LE SEMINAIRE,CHARLES NEMES,DES PRETRES ST SEVERIN,75005,RUE DES PRETRES ST SEVERIN 75005 Paris France,
LE SEMINAIRE,CHARLES NEMES,GALANDE,75005,RUE GALANDE 75005 Paris France,"48.851532, 2.347142"
LE SEMINAIRE,CHARLES NEMES,DE LA HARPE,75005,RUE DE LA HARPE 75005 Paris France,"48.851948, 2.344182"
LE SEMINAIRE,CHARLES NEMES,ELEMENTAIRE (RUE ST JACQUES),75005,ECOLE ELEMENTAIRE (RUE ST JACQUES) 75005 Paris France,
LE SEMINAIRE,CHARLES NEMES,SAINT JULIEN LE PAUVRE,75005,RUE SAINT JULIEN LE PAUVRE 75005 Paris France,
LE SEMINAIRE,CHARLES NEMES,DE LA PARC,75005,RUE DE LA PARC 75005 Paris France,"48.843283, 2.3505"
LE SEMINAIRE,CHARLES NEMES,DE MONTEBELLO,75005,PORT DE MONTEBELLO 75005 Paris France,"48.843491, 2.351834"
LE CODE A CHANGE,DANIELE THOMPSON,COURTELINE,75012,SQUARE COURTELINE 75012 Paris France,
LE SEMINAIRE,CHARLES NEMES,DE LA TOURNELLE,75005,PORT DE LA TOURNELLE 75005 Paris France,"48.849811, 2.356086"
CHERI,STEPHEN FREARS,PAUL SAUNIERE,75016,RUE PAUL SAUNIERE 75016 Paris France,
CHERI,STEPHEN FREARS,CLAUDE CHAHU,75016,RUE CLAUDE CHAHU 75016 Paris France,
LE SEMINAIRE,CHARLES NEMES,DU CARDINAL DUBOIS,75018,RUE DU CARDINAL DUBOIS 75018 Paris France,"48.885897, 2.343163"
UN SOIR AU CLUB,JEAN ACHACHE,DE LA BONNE GRAINE,75011,PASSAGE DE LA BONNE GRAINE 75011 Paris France,"48.851985, 2.377045"
LE CODE A CHANGE,DANIELE THOMPSON,DU JOURDAIN,75020,RUE DU JOURDAIN 75020 Paris France,
LE SEMINAIRE,CHARLES NEMES,AZAIS/R CARDINAL DUBOIS,75018,RUE AZAIS/R CARDINAL DUBOIS 75018 Paris France,
CHERI,STEPHEN FREARS,EUGENE MANUEL,75016,RUE EUGENE MANUEL 75016 Paris France,
CYPRIEN,DAVID CHARHON,D'ALGERIE,75019,BOULEVARD D'ALGERIE 75019 Paris France,
LE SEMINAIRE,CHARLES NEMES,EDOUARD LOCKROY,75011,RUE EDOUARD LOCKROY 75011 Paris France,
CYPRIEN,DAVID CHARHON,FREDERIC MOURLON,75019,RUE FREDERIC MOURLON 75019 Paris France,
CYPRIEN,DAVID CHARHON,ALPHONSE AULARD,75019,BOULEVARD ALPHONSE AULARD 75019 Paris France,
CYPRIEN,DAVID CHARHON,DE LA PTE BRUNET/BD D'INDOCHINE (ANGLE),75019,AVENUE DE LA PTE BRUNET/BD D'INDOCHINE (ANGLE) 75019 Paris France,
UN SOIR AU CLUB,JEAN ACHACHE,DES TAILLANDIERS,75011,RUE DES TAILLANDIERS 75011 Paris France,"48.854017, 2.375375"
CYPRIEN,DAVID CHARHON,DE SPORT,75019,TERRAIN DE SPORT 75019 Paris France,
"KOUTOUSOV, GAMBIT RUSSE",DIMITRY TOMASHPOLSKI,DE VALMY,75010,QUAI DE VALMY 75010 Paris France,"48.876123, 2.364043"
"KOUTOUSOV, GAMBIT RUSSE",DIMITRY TOMASHPOLSKI,DE JEMMAPES,75010,QUAI DE JEMMAPES 75010 Paris France,"48.876681, 2.365244"
"KOUTOUSOV, GAMBIT RUSSE",DIMITRY TOMASHPOLSKI,DE LA GRANGE AUX BELLES,75010,RUE DE LA GRANGE AUX BELLES 75010 Paris France,"48.875657, 2.367231"
"KOUTOUSOV, GAMBIT RUSSE",DIMITRY TOMASHPOLSKI,JEAN POULMARCH,75010,RUE JEAN POULMARCH 75010 Paris France,"48.872434, 2.363502"
"KOUTOUSOV, GAMBIT RUSSE",DIMITRY TOMASHPOLSKI,DES VINAIGRIERS,75010,RUE DES VINAIGRIERS 75010 Paris France,"48.873182, 2.360779"
"KOUTOUSOV, GAMBIT RUSSE",DIMITRY TOMASHPOLSKI,BICHAT,75010,RUE BICHAT 75010 Paris France,"48.872186, 2.367217"
"KOUTOUSOV, GAMBIT RUSSE",DIMITRY TOMASHPOLSKI,SAINT LOUIS,75010,PONT SAINT LOUIS 75010 Paris France,
LES REGRETS,CEDRIC KAHN,AURIOL,75013,BOULEVARD AURIOL 75013 Paris France,"48.833906, 2.364923"
VILLA AMALIA,BENOIT JACQUOT,DU GENERAL BEURRET,75015,RUE DU GENERAL BEURRET 75015 Paris France,
CHERI,STEPHEN FREARS,DES GENERAUX DE TRENTIGNAN,75016,PLACE DES GENERAUX DE TRENTIGNAN 75016 Paris France,
CHERI,STEPHEN FREARS,DES PYRAMIDES,75001,PLACE DES PYRAMIDES 75001 Paris France,"48.863996, 2.332281"
DEAR GALILEO,NITHIWAT TARATHORN,DES ARTS,75001,PONT DES ARTS 75001 Paris France,"48.858795, 2.337747"
DEAR GALILEO,NITHIWAT TARATHORN,DE BIR HAKEIM,75016,PONT DE BIR HAKEIM 75016 Paris France,"48.855749, 2.287405"
BAMBOU,DIDIER BOURDON,DE L'AQUEDUC,75010,RUE DE L'AQUEDUC 75010 Paris France,"48.881913, 2.362867"
BAMBOU,DIDIER BOURDON,PHILIPPE DE GIRARD,75010,RUE PHILIPPE DE GIRARD 75010 Paris France,"48.8845, 2.361457"
VICTOR,THOMAS GILOU,JUNOT,75018,AVENUE JUNOT 75018 Paris France,"48.88811, 2.336022"
RAPT,LUCAS BELVAUX,FOCH (CONTRE ALLEE),75016,AVENUE FOCH (CONTRE ALLEE) 75016 Paris France,"48.853093, 2.248763"
L'ELEGANCE DU HERISSON,MONA ACHACHE,EUGENE MANUEL,75016,RUE EUGENE MANUEL 75016 Paris France,
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,D'IVRY SUR SEINE ET DE CHARENTON,94200,PASSERELLE D'IVRY SUR SEINE ET DE CHARENTON 94200 Paris France,
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,SAINT SEBASTIEN,75011,PASSAGE SAINT SEBASTIEN 75011 Paris France,
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,DES CELESTINS,75004,PONT DES CELESTINS 75004 Paris France,
MA MEC A MOI,J.J.ZILBERMANN,DE PANAMA,75018,RUE DE PANAMA 75018 Paris France,
MON BEAU PERE,ELIE CHOURAQUI,DU DOCTEUR LANCEREAUX,75008,RUE DU DOCTEUR LANCEREAUX 75008 Paris France,"48.876055, 2.310371"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,MONTEBELLO (VOIE PUBLIQUE),75005,QUAI MONTEBELLO (VOIE PUBLIQUE) 75005 Paris France,
LE COACH,OLIVIER DORAN,ALEXANDRE III,75007,PONT ALEXANDRE III 75007 Paris France,"48.863663, 2.313554"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,MONTEBELLO (BERGES,75005,QUAI MONTEBELLO (BERGES 75005 Paris France,
LES HERBES FOLLES,ALAIN RESNAIS,NATUREL,75020,JARDIN NATUREL 75020 Paris France,
HADEWIJCH,BRUNO DUMONT,DE LA TOURNELLE,75005,PORT DE LA TOURNELLE 75005 Paris France,"48.849811, 2.356086"
LA DOUBLE CROISEE,JEAN-CHARLES ATZENI,DU CHAMP DE MARS,75007,PARC DU CHAMP DE MARS 75007 Paris France,"48.856315, 2.297387"
JULIE AND JULIA,NORA EPHRON,DU PANTHEON,75005,PLACE DU PANTHEON 75005 Paris France,"48.845685, 2.345901"
JULIE AND JULIA,NORA EPHRON,SAINT ETIENNE DU MONT,75005,RUE SAINT ETIENNE DU MONT 75005 Paris France,"48.846669, 2.348351"
JULIE AND JULIA,NORA EPHRON,FREDERIC SAUTON,75005,RUE FREDERIC SAUTON 75005 Paris France,
JULIE AND JULIA,NORA EPHRON,DE LA BUCHERIE,75005,RUE DE LA BUCHERIE 75005 Paris France,"48.852142, 2.348129"
JULIE AND JULIA,NORA EPHRON,DES GRANDS DEGRES,75005,RUE DES GRANDS DEGRES 75005 Paris France,"48.851237, 2.350247"
JE L'AIMAIS,ZABOU BREITMAN,CLEMENT MAROT,75008,RUE CLEMENT MAROT 75008 Paris France,"48.867696, 2.303226"
JULIE AND JULIA,NORA EPHRON,SAINT GENEVIEVE,75005,PLACE SAINT GENEVIEVE 75005 Paris France,"48.848622, 2.348485"
JULIE AND JULIA,NORA EPHRON,DE L'ABBE BASSET,75005,PLACE DE L'ABBE BASSET 75005 Paris France,
JULIE AND JULIA,NORA EPHRON,DU HAUT PAVE,75005,RUE DU HAUT PAVE 75005 Paris France,
JULIE AND JULIA,NORA EPHRON,DE LA MONTAGNE SAINTE GENEVIEVE,75005,RUE DE LA MONTAGNE SAINTE GENEVIEVE 75005 Paris France,"48.848064, 2.348511"
TRANSPORT,OLIVIER MEGATON,SAINT AUGUSTIN,75008,PLACE SAINT AUGUSTIN 75008 Paris France,"48.875131, 2.319833"
EDEN A L'OUEST,COSTA GAVRAS,DE SEINE,75006,RUE DE SEINE 75006 Paris France,"48.854513, 2.336874"
EDEN A L'OUEST,COSTA GAVRAS,COPERNIC,75016,RUE COPERNIC 75016 Paris France,
SECRET DEFENSE,PHILIPPE HAIM,RAPHAEL,75016,HOTEL RAPHAEL 75016 Paris France,
